Comment,Designator,Footprint,LCSC Part #
10k,"R1,R6,R9,R11,R19",R0805W,C17414
560R,"R2,R5",R0805W,C28636
220R,"R3,R4,R14,R15,R16,R17,R20",R0805W,C17557
100R,R13,R0805W,C17408
330R,R7,R0805W,C17630
1k,"R8,R10,R12",R0805W,C17513
100nF,"C1,C3,C4,C5",C0805K,C49678
AO3400,"Q1,Q2",SOT23,C20917
1N4148W,"D3,D4",SOD-123,C81598
SMF5.0A,D6,SOD-123FL,C151296
G6S-2F-TR DC5,"K1,K2",RELAY_G6S-2F_DC3_OMR,C397130
LED green 0603,"LED1,LED3",0603,C12624
LED red 0603,LED2,0603,C2286
LED blue 0603,LED4,0603,C2288
68k,R18,R0805W,C17801
SMF12A,D8,SOD-123FL,C2943870
B5819W,D9,SOD-123,C8598
SMAJ33CA,D10,SMA,C132941
