Designator,Mid X,Mid Y,Layer,Rotation
R1,69.4908mm,42.5192mm,Top,0
R3,52.6387mm,47.9695mm,Top,180
R4,81.3408mm,47.9695mm,Top,180
R2,69.4472mm,44.7261mm,Top,0
Q1,69.4908mm,38.1000mm,Top,180
D3,69.6260mm,32.6816mm,Top,90
R5,41.5508mm,44.7020mm,Top,0
Q2,41.5508mm,37.9173mm,Top,180
D4,41.6340mm,32.4068mm,Top,90
R6,41.5508mm,42.4675mm,Top,0
K1,78.9840mm,36.8980mm,Top,180
K2,50.2820mm,36.8980mm,Top,180
R7,81.9150mm,58.9033mm,Top,0
R8,76.4540mm,58.9360mm,Top,180
D6,65.6590mm,63.4340mm,Top,180
C3,71.5010mm,58.9431mm,Top,180
R9,81.9150mm,63.6755mm,Top,0
R10,76.4540mm,63.6150mm,Top,180
C4,71.5010mm,63.6001mm,Top,180
R11,81.9150mm,61.2894mm,Top,180
R12,76.4540mm,61.2755mm,Top,180
C1,71.5010mm,61.2716mm,Top,180
R14,76.6473mm,47.9695mm,Top,0
R15,81.6610mm,7.0820mm,Top,180
R16,47.8127mm,47.9695mm,Top,0
R17,76.4485mm,7.1162mm,Top,0
LED1,78.4860mm,52.5780mm,Top,90
LED2,50.0380mm,52.5780mm,Top,90
LED3,79.5020mm,10.9220mm,Top,270
R13,28.4480mm,38.8620mm,Top,180
LED4,24.6380mm,38.8620mm,Top,270
R18,82.0420mm,56.3880mm,Top,0
R19,76.7080mm,56.3880mm,Top,0
C5,71.6280mm,56.3880mm,Top,0
D8,65.5320mm,56.3880mm,Top,0
R20,65.5320mm,59.9440mm,Top,0
D9,38.8620mm,32.5120mm,Top,270
D10,61.9760mm,32.0040mm,Top,180
